Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0xdcb856a410cf244497d26aedd0d1ffeec790412e47eaca9576ea34de2cbc1656,12753579,1637247555,11/18/21 14:59,0xb12130225a4c240fa4b703dadf8ee923ec1a0635,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,799.0657524,Buy And Free22457070633
0x748b6e82c1f57b9c79528aeb1eb3bd9d06b5b4ae7e3c9f3720d14ada7219abe8,12753595,1637247603,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xd7f136be5eb9762034727e77c6d09b1f42e3321a,999.8558855,0x3070b98d
0x8479555c1e134f525d03d7d8c5beb0e7c73f2f4118961cb1a788dcbdaaf9c1e7,12753601,1637247621,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xb21c4b60c0c775543cfec6febddf07dcb888c837,998.712,0x3070b98d
0xfd18b84fea819153216a4455e2c91b0c579bb835beb8c4f234977514290d9d4a,12753603,1637247627,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xdeac7d09d1d91853a2bd85a4426e2936f873cce6,999.856,0x3070b98d
0x9412a7dea5eebbd6b407f8e465bb18356be1772d457592f9299f6082d710324f,12753603,1637247627,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x781d502a33d9c6347b934ec93a5614d9cd6abbab,999.854856,0x3070b98d
0xde44d89de4bdc376cedadf3f1d2a1cc9a7d6d75a4cd2dad1f4c4a40e63f68576,12753603,1637247627,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xb533a6a946c0a494c77d55fe2eb88bb33b256c44,999.854856,0x3070b98d
0x8bd097e64ab26f5784c9dd8628d840a1caac54d861092074538701307e79fe14,12753604,1637247630,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xf10b78d93908c6969caef79a7bab28189e6b2207,999.84456,0x3070b98d
0x5edb5c15f4125e9a036d3334647b33aae3f9ae3640b6747105552abd2a247fb5,12753605,1637247633,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x70afd21403a9ac587cd6902a1437af72d19321e6,999.856,0x3070b98d
0x6ee8a7dcca6163c9608c994efae325793b0a3efed32c0cc4f36377be2fce92e7,12753606,1637247636,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xc61850e5da093a2593f4d3d81563f44b89e971dd,995.28,0x3070b98d
0x4e18dd06f1e27deaf02e4a6188a63b0b239c94101c30af60ed2d62f7157ad67f,12753606,1637247636,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x6aefbe129226750a80df5ba780db283b455472bf,999.84456,0x3070b98d
